,barrio,Precio M2,Distancia Subte,lat,lon,estacion
2866,VILLA CRESPO,2222.222222222222,882.7956981757428,-34.594098103600004,-58.430549293199995,135.0
2867,VILLA CRESPO,3207.5471698113206,266.3964749358116,-34.5963204,-58.4402208,139.0
2868,VILLA CRESPO,2098.7654320987654,323.14994621986244,-34.596004,-58.4387623,139.0
2869,VILLA CRESPO,2820.2758620689656,532.3831676277987,-34.599947,-58.4447,140.0
2870,VILLA CRESPO,1890.0,629.1931997336527,-34.59589520000001,-58.4347809,141.0
2871,VILLA CRESPO,1916.666666666667,219.17187925563832,-34.600128600000005,-58.4305413,136.0
2872,VILLA CRESPO,1568.5714285714291,1175.3906632448839,-34.60194620000001,-58.45116170000001,146.0
2873,VILLA CRESPO,1964.2857142857144,342.2513647693936,-34.601696347,-58.4415172487,142.0
2874,VILLA CRESPO,2903.225806451613,263.23227357896167,-34.60028320000001,-58.43749129999999,141.0
2875,VILLA CRESPO,2264.957264957265,263.23227357896167,-34.60028320000001,-58.43749129999999,141.0
2876,VILLA CRESPO,2814.8148148148152,134.96975003013281,-34.598300200000004,-58.4385593,141.0
2877,VILLA CRESPO,2437.5,1310.6498373942477,-34.602328,-58.4532585,146.0
2878,VILLA CRESPO,1992.0394736842104,921.4050317065187,-34.592564210999996,-58.434236526599996,139.0
2879,VILLA CRESPO,1959.268456375839,921.4050317065187,-34.592564210999996,-58.434236526599996,139.0
2880,VILLA CRESPO,1996.2993630573249,921.4050317065187,-34.592564210999996,-58.434236526599996,139.0
2881,VILLA CRESPO,1853.45,921.4050317065187,-34.592564210999996,-58.434236526599996,139.0
2882,VILLA CRESPO,1741.4175824175825,921.4050317065187,-34.592564210999996,-58.434236526599996,139.0
2883,VILLA CRESPO,2222.222222222222,253.42318733288315,-34.5966734,-58.4409407,139.0
2884,VILLA CRESPO,3173.0769230769233,271.28329858180297,-34.596476,-58.438854000000006,139.0
2885,VILLA CRESPO,3215.384615384615,524.7218480321073,-34.5945508,-58.44217809999999,139.0
2886,VILLA CRESPO,1812.080536912752,556.6801228584919,-34.6020458,-58.4439422,140.0
2887,VILLA CRESPO,1598.9847715736041,903.2949042057336,-34.592184,-58.434949,139.0
2888,VILLA CRESPO,2470.3786666666665,243.85783803156838,-34.5998864,-58.4318005,135.0
2889,VILLA CRESPO,2598.0619565217394,243.85783803156838,-34.5998864,-58.4318005,135.0
2890,VILLA CRESPO,2806.9926744186046,243.85783803156838,-34.5998864,-58.4318005,135.0
2891,VILLA CRESPO,2811.7292592592603,243.85783803156838,-34.5998864,-58.4318005,135.0
2892,VILLA CRESPO,2577.7555555555555,170.65741928334808,-34.601810914299996,-58.43287831439999,135.0
2893,VILLA CRESPO,2499.98,170.65741928334808,-34.601810914299996,-58.43287831439999,135.0
2894,VILLA CRESPO,1882.3411764705882,410.3641735260451,-34.6004687,-58.4347154,135.0
2895,VILLA CRESPO,2648.1296296296296,149.16652317322672,-34.60186820000001,-58.4326899,135.0
2896,VILLA CRESPO,2702.675675675676,149.16652317322672,-34.60186820000001,-58.4326899,135.0
2897,VILLA CRESPO,2608.6739130434785,149.16652317322672,-34.60186820000001,-58.4326899,135.0
2898,VILLA CRESPO,2666.644444444445,149.16652317322672,-34.60186820000001,-58.4326899,135.0
2899,VILLA CRESPO,2413.021739130435,190.77142224771077,-34.6003671,-58.43071180000001,136.0
2900,VILLA CRESPO,2545.4242424242425,190.77142224771077,-34.6003671,-58.43071180000001,136.0
2901,VILLA CRESPO,2399.975,190.77142224771077,-34.6003671,-58.43071180000001,136.0
2902,VILLA CRESPO,2621.212121212121,190.77142224771077,-34.6003671,-58.43071180000001,136.0
2903,VILLA CRESPO,2648.1296296296296,178.66623720664555,-34.6018168453,-58.4329525525,135.0
2904,VILLA CRESPO,2545.436363636364,154.08566705073437,-34.6017763344,-58.4327198174,135.0
2905,VILLA CRESPO,2525.628205128205,214.3081565437016,-34.600151394899996,-58.430745711499995,136.0
2906,VILLA CRESPO,2818.151515151515,233.04707121585852,-34.6000100944,-58.4304882195,136.0
2907,VILLA CRESPO,2649.975,206.82850105482234,-34.600222045100004,-58.4307027962,136.0
2908,VILLA CRESPO,2666.6363636363635,211.13598334176586,-34.600186720100005,-58.4306598809,136.0
2909,VILLA CRESPO,2902.4268292682927,203.2498804554924,-34.600258700000005,-58.4306575,136.0
2910,VILLA CRESPO,2926.817073170732,203.2498804554924,-34.600258700000005,-58.4306575,136.0
2911,VILLA CRESPO,2857.128571428572,203.2498804554924,-34.600258700000005,-58.4306575,136.0
2912,VILLA CRESPO,2166.6666666666665,499.66558599885,-34.597043,-58.444107,140.0
2913,VILLA CRESPO,2656.25,499.66558599885,-34.597043,-58.444107,140.0
2914,VILLA CRESPO,2537.313432835821,499.66558599885,-34.597043,-58.444107,140.0
2915,VILLA CRESPO,2631.578947368421,240.66218424143756,-34.5968729,-58.44105500000001,139.0
2916,VILLA CRESPO,2810.3448275862074,713.2454884326751,-34.5957645,-58.4328329,135.0
2917,VILLA CRESPO,2810.3448275862074,713.2454884326751,-34.5957645,-58.4328329,135.0
2918,VILLA CRESPO,2292.3076923076924,1031.4322292680836,-34.605195200000004,-58.4469045,140.0
2919,VILLA CRESPO,2857.142857142857,247.80226299732666,-34.596627500000004,-58.4407197,139.0
2920,VILLA CRESPO,2023.121387283237,827.9300451044803,-34.5947773,-58.433166,135.0
2921,VILLA CRESPO,2250.0,544.2719145324247,-34.596768,-58.44857,146.0
2922,VILLA CRESPO,2700.0,381.1028535007595,-34.593986,-58.444626,145.0
2923,VILLA CRESPO,2458.333333333333,963.0175891255511,-34.599049900000004,-58.4525637,146.0
2924,VILLA CRESPO,2225.0,570.7641455560998,-34.5967815,-58.4348815,141.0
2925,VILLA CRESPO,2187.5,412.9967367741255,-34.598311200000005,-58.43146460000001,135.0
